question,option,count,pct_valid_respondents,pct_total_respondents
Pains in current teammate finding methods,Không biết ai đang rảnh,107,71.8,67.3
Pains in current teammate finding methods,Phải nhắn nhiều nơi mới đủ người,78,52.3,49.1
Pains in current teammate finding methods,Khó tìm người gần mình,56,37.6,35.2
Pains in current teammate finding methods,Ngại chơi với người lạ vì thiếu thông tin,56,37.6,35.2
Pains in current teammate finding methods,Dễ bị hủy kèo vào phút cuối,48,32.2,30.2
Pains in current teammate finding methods,Không biết trình độ người chơi,33,22.1,20.8
Pains in current teammate finding methods,Không có đánh giá/độ uy tín của người chơi,19,12.8,11.9
Pains in current teammate finding methods,Khó chia tiền sân/chi phí,17,11.4,10.7
Pains in current teammate finding methods,Khó quản lý số lượng người tham gia,15,10.1,9.4
Pains in current teammate finding methods,người lạ,1,0.7,0.6
