question,option,count,pct_valid_respondents,pct_total_respondents,area
Teammate finding pain points,Bạn bè/người quen không rảnh,122,81.9,76.7,Tìm người chơi
Teammate finding pain points,Không đủ số lượng người để chơi,75,50.3,47.2,Tìm người chơi
Teammate finding pain points,Khó tìm người cùng lịch rảnh,69,46.3,43.4,Tìm người chơi
Teammate finding pain points,Khó tìm người cùng trình độ,40,26.8,25.2,Tìm người chơi
Teammate finding pain points,Không biết tìm người chơi ở đâu,31,20.8,19.5,Tìm người chơi
Teammate finding pain points,Người chơi hay hủy kèo,24,16.1,15.1,Tìm người chơi
Teammate finding pain points,Khó chia chi phí,12,8.1,7.5,Tìm người chơi
Teammate finding pain points,Ngại chơi với người lạ,5,3.4,3.1,Tìm người chơi
Teammate finding pain points,ko có bóng hay sân,1,0.7,0.6,Tìm người chơi
Teammate finding pain points,nghèo,1,0.7,0.6,Tìm người chơi
Teammate finding pain points,làm biếng,1,0.7,0.6,Tìm người chơi
Pains in current teammate finding methods,Không biết ai đang rảnh,107,71.8,67.3,Cách tìm người hiện tại
Pains in current teammate finding methods,Phải nhắn nhiều nơi mới đủ người,78,52.3,49.1,Cách tìm người hiện tại
Pains in current teammate finding methods,Khó tìm người gần mình,56,37.6,35.2,Cách tìm người hiện tại
Pains in current teammate finding methods,Ngại chơi với người lạ vì thiếu thông tin,56,37.6,35.2,Cách tìm người hiện tại
Pains in current teammate finding methods,Dễ bị hủy kèo vào phút cuối,48,32.2,30.2,Cách tìm người hiện tại
Pains in current teammate finding methods,Không biết trình độ người chơi,33,22.1,20.8,Cách tìm người hiện tại
Pains in current teammate finding methods,Không có đánh giá/độ uy tín của người chơi,19,12.8,11.9,Cách tìm người hiện tại
Pains in current teammate finding methods,Khó chia tiền sân/chi phí,17,11.4,10.7,Cách tìm người hiện tại
Pains in current teammate finding methods,Khó quản lý số lượng người tham gia,15,10.1,9.4,Cách tìm người hiện tại
Pains in current teammate finding methods,người lạ,1,0.7,0.6,Cách tìm người hiện tại
Booking/location pain points,Không biết sân/địa điểm nào còn trống,86,62.3,54.1,Đặt sân/tìm địa điểm
Booking/location pain points,Không rõ chất lượng sân/địa điểm,74,53.6,46.5,Đặt sân/tìm địa điểm
Booking/location pain points,Không rõ giá,72,52.2,45.3,Đặt sân/tìm địa điểm
Booking/location pain points,Phải gọi/nhắn nhiều nơi,62,44.9,39.0,Đặt sân/tìm địa điểm
Booking/location pain points,Dễ bị trùng lịch hoặc hết chỗ,56,40.6,35.2,Đặt sân/tìm địa điểm
Booking/location pain points,Không có đánh giá từ người chơi trước,28,20.3,17.6,Đặt sân/tìm địa điểm
Booking/location pain points,Khó đổi/hủy lịch,25,18.1,15.7,Đặt sân/tìm địa điểm
Booking/location pain points,Không có một nơi tổng hợp nhiều sân/môn thể thao,14,10.1,8.8,Đặt sân/tìm địa điểm
Booking/location pain points,Khó chia tiền với người chơi khác,13,9.4,8.2,Đặt sân/tìm địa điểm
