question,option,count,pct_valid_respondents,pct_total_respondents
Teammate finding pain points,Bạn bè/người quen không rảnh,122,81.9,76.7
Teammate finding pain points,Không đủ số lượng người để chơi,75,50.3,47.2
Teammate finding pain points,Khó tìm người cùng lịch rảnh,69,46.3,43.4
Teammate finding pain points,Khó tìm người cùng trình độ,40,26.8,25.2
Teammate finding pain points,Không biết tìm người chơi ở đâu,31,20.8,19.5
Teammate finding pain points,Người chơi hay hủy kèo,24,16.1,15.1
Teammate finding pain points,Khó chia chi phí,12,8.1,7.5
Teammate finding pain points,Ngại chơi với người lạ,5,3.4,3.1
Teammate finding pain points,ko có bóng hay sân,1,0.7,0.6
Teammate finding pain points,nghèo,1,0.7,0.6
Teammate finding pain points,làm biếng,1,0.7,0.6
