field,option,count,pct_valid,pct_total
age,18–22,147,92.5,92.5
age,23–30,9,5.7,5.7
age,Dưới 18,3,1.9,1.9
gender,Nam,89,56.0,56.0
gender,Nữ,66,41.5,41.5
gender,Không muốn trả lời,3,1.9,1.9
gender,Khác,1,0.6,0.6
occupation,Học sinh/Sinh viên,140,88.1,88.1
occupation,Nhân viên văn phòng,11,6.9,6.9
occupation,Freelancer,3,1.9,1.9
occupation,Người lao động tự do,3,1.9,1.9
occupation,Khác,1,0.6,0.6
occupation,Chủ doanh nghiệp,1,0.6,0.6
income,Dưới 2.000.000 VND,57,35.8,35.8
income,Từ 2.000.000 - Dưới 5.000.000,33,20.8,20.8
income,Từ 5.000.000 - Dưới 10.000.000,29,18.2,18.2
income,Không tiện đề cập,26,16.4,16.4
income,Trên 10.000.000,14,8.8,8.8
sport_interest,"Có, thỉnh thoảng",51,32.1,32.1
sport_interest,"Có, thường xuyên",44,27.7,27.7
sport_interest,Trước đây có chơi nhưng hiện tại ít chơi,44,27.7,27.7
sport_interest,Không quan tâm,10,6.3,6.3
sport_interest,Chưa chơi thường xuyên nhưng muốn bắt đầu,10,6.3,6.3
ideal_frequency,1–2 lần/tuần,57,38.3,35.8
ideal_frequency,Khi có người rủ,37,24.8,23.3
ideal_frequency,3 lần/tuần trở lên,36,24.2,22.6
ideal_frequency,1–3 lần/tháng,14,9.4,8.8
ideal_frequency,Chưa rõ,5,3.4,3.1
teammate_shortage,Thỉnh thoảng,75,50.3,47.2
teammate_shortage,Rất thường xuyên,43,28.9,27.0
teammate_shortage,Hiếm khi,19,12.8,11.9
teammate_shortage,Chưa bao giờ,12,8.1,7.5
new_player_openness,4.0,51,34.2,32.1
new_player_openness,5.0,45,30.2,28.3
new_player_openness,3.0,40,26.8,25.2
new_player_openness,1.0,7,4.7,4.4
new_player_openness,2.0,6,4.0,3.8
booking_need,Thỉnh thoảng,76,51.0,47.8
booking_need,Hiếm khi,32,21.5,20.1
booking_need,Thường xuyên,30,20.1,18.9
booking_need,Không bao giờ,11,7.4,6.9
expected_frequency_lift,Có thể,70,47.0,44.0
expected_frequency_lift,"Có, chắc chắn",61,40.9,38.4
expected_frequency_lift,Không chắc,16,10.7,10.1
expected_frequency_lift,Không,2,1.3,1.3
willingness_to_pay,"Có thể, nếu giá hợp lý",79,53.0,49.7
willingness_to_pay,"Có thể, nếu app thật sự có nhiều người dùng",32,21.5,20.1
willingness_to_pay,Có,20,13.4,12.6
willingness_to_pay,Không,18,12.1,11.3
