question,option,count,pct_valid_respondents,pct_total_respondents
Sports currently played or desired,Cầu lông,107,71.8,67.3
Sports currently played or desired,Bơi lội,59,39.6,37.1
Sports currently played or desired,Bóng đá,54,36.2,34.0
Sports currently played or desired,Gym/Fitness theo nhóm,49,32.9,30.8
Sports currently played or desired,Chạy bộ theo nhóm,39,26.2,24.5
Sports currently played or desired,Bóng chuyền,30,20.1,18.9
Sports currently played or desired,Bida,29,19.5,18.2
Sports currently played or desired,Pickleball,25,16.8,15.7
Sports currently played or desired,Đạp xe theo nhóm,23,15.4,14.5
Sports currently played or desired,Bóng rổ,20,13.4,12.6
Sports currently played or desired,Tennis,15,10.1,9.4
Sports currently played or desired,Bóng bàn,13,8.7,8.2
Sports currently played or desired,Đá cầu,1,0.7,0.6
Sports currently played or desired,Gym nhưng một mình,1,0.7,0.6
