question,option,count,pct_valid_respondents,pct_total_respondents
Switching triggers,Biết trước lịch trống và giá sân,98,65.8,61.6
Switching triggers,Có nhiều người chơi thật,93,62.4,58.5
Switching triggers,Có nhiều sân/địa điểm thể thao đối tác,76,51.0,47.8
Switching triggers,Ghép người chơi theo lịch rảnh,55,36.9,34.6
Switching triggers,Có đánh giá người chơi và sân/địa điểm,54,36.2,34.0
Switching triggers,Có thể chia tiền sân trong app,51,34.2,32.1
Switching triggers,Giao diện đơn giản,50,33.6,31.4
Switching triggers,dễ dùng,50,33.6,31.4
Switching triggers,Có xác minh tài khoản,46,30.9,28.9
Switching triggers,Ghép người chơi theo trình độ,40,26.8,25.2
Switching triggers,Có cộng đồng/giải phong trào hoạt động thường xuyên,31,20.8,19.5
