question,option,count,pct_valid_respondents,pct_total_respondents
Paid feature preferences,Phí đặt sân/địa điểm tiện lợi,100,67.1,62.9
Paid feature preferences,Phí tham gia trận/nhóm chơi,53,35.6,33.3
Paid feature preferences,Phí tham gia giải hoặc sự kiện thể thao,37,24.8,23.3
Paid feature preferences,Gói premium để được ghép người phù hợp hơn,36,24.2,22.6
Paid feature preferences,quản lý clb hoặc nhóm người hoạt động thường xuyên,1,0.7,0.6
Paid feature preferences,Cho biết trước việc sân còn hay hết chỗ,1,0.7,0.6
Paid feature preferences,Em nghĩ là tiền sân cũng như tiền gì đó nếu đối phương hủy kèo phải chịu ( ko cần cao quá đâu ạ),1,0.7,0.6
Paid feature preferences,:v,1,0.7,0.6
Paid feature preferences,Hiện có thể ra công viên hoặc đâu đó có sân chơi miễn phí. Dường như môn thể thao nào cũng có thể chơi ít nhất 2 người,1,0.7,0.6
Paid feature preferences,nên nếu chơi cho vui với bạn bè chứ không phải kiểu chơi chuyên nghiệp thì khó mà cần trả phí cho các tính năng,1,0.7,0.6
Paid feature preferences,Không có,1,0.7,0.6
Paid feature preferences,chưa biết,1,0.7,0.6
